Title,Artist,Nationality,Gender,BeginDate,EndDate,release_year,Department,appt_made_date
"Taliesin Fellowship Complex, Midway Farm, Spring Green, WI (Plan and elevation of tower and weather vane)",Frank Lloyd Wright,(American),(Male),-1867,-1959,2021C,**Architecture & Design**,2015-01-06T00:00:00
The Navy Needs You! Don't Read American History - Make It! U.S. Navy Recruiting Station,James Montgomery Flagg,(American),(Male),-1877,-1960,2021C,**Architecture & Design**,2015-01-06T00:00:00
Untitled,Carey Maxon,(American),(Female),-1978,,2021,**Drawings**,2015-01-06T00:00:00
Untitled from Program,Jorge Pardo,(American),(Male),-1963,,2021,**Prints & Illustrated Books**,2015-01-05T00:00:00
Plate (folio 8) from LE STANZE OSCURE,Cesare Peverelli,(Italian),(Male),-1922,-2000,2021,**Prints & Illustrated Books**,2015-01-06T00:00:00
Photographic Views and Studies of Canadian Scenery,Alexander Henderson,(Canadian),(Male),-1831,-1913,2021s,**Photography**,2015-01-06T00:00:00
"Georgetown County Court House, Georgetown, South Carolina, February 20, 1976",Stephen Shore,(American),(Male),-1947,,2020),**Photography**,2015-01-06T00:00:00
"Meudon, ancien château",Eugène Atget,(French),(Male),-1857,-1927,2021s,**Photography**,2015-01-02T00:00:00
Bright Leaves,Ross McElwee,(),(Male),,,2021,**Film**,2015-01-02T00:00:00
A Mounatin Called Desire (Una Montaña llamada deseo),Sandra Vásquez de la Horra,(Chilean),(Female),-1967,,2021S,**Drawings**,2015-01-06T00:00:00
Plate XLVII from the Barcelona Series,Joan Miró,(Spanish),(Male),-1893,-1983,2019),**Prints & Illustrated Books**,2015-01-06T00:00:00
Canto VI from 18 Cantos,Barnett Newman,(American),(Male),-1905,-1970,2021c,**Prints & Illustrated Books**,2015-01-05T00:00:00
Chagres River from the Fort,Eadweard J. Muybridge,(American),(Male),-1830,-1904,2021s,**Photography**,2015-01-05T00:00:00
"Men of Air, New York",Robert Frank,(American),(Male),-1924,,2018,**Photography**,2015-01-06T00:00:00
William Eggleston and Friend,Lee Friedlander,(American),(Male),-1934,,2021(,**Photography**,2015-01-05T00:00:00
Seated Nude,Fernand Léger,(French),(Male),-1881,-1955,2021,**Drawings**,2015-01-06T00:00:00
"Extraordinary Contorted ""Marble Cake"" Moraine of Susitna Glacier, Central Alaska",Bradford Washburn,(American),(Male),-1910,-2007,2019,**Photography**,2015-01-05T00:00:00
"Friedrichstrasse Skyscraper Project, Berlin-Mitte, Germany (Floor plan)",Ludwig Mies van der Rohe,(American),(Male),-1886,-1969,2021C,**Architecture & Design**,2015-01-05T00:00:00
Ouray from Copper Series,Frank Stella,(American),(Male),-1936,,2021(,**Prints & Illustrated Books**,2015-01-05T00:00:00
Bodies of Women (Corps de dames),Jean Dubuffet,(French),(Male),-1901,-1985,2021C,**Prints & Illustrated Books**,2015-01-05T00:00:00
Ear,Louise Bourgeois,(American),(Female),-1911,-2010,2021S,**Prints & Illustrated Books**,2015-01-05T00:00:00
Pablo Picasso,Man Ray (Emmanuel Radnitzky),(American),(Male),-1890,-1976,2020s,**Photography**,2015-01-05T00:00:00
Plate (folio 43) from ADVENTURES IN KU-TA-BA WA-DO,Gerald Jackson,(American),(Male),-1943,,2021,**Prints & Illustrated Books**,2015-01-05T00:00:00
RETURN FROM TOIL,John Sloan,(American),(Male),-1871,-1951,2016S,**Prints & Illustrated Books**,2015-01-06T00:00:00
Ears,Louise Bourgeois,(American),(Female),-1911,-2010,2021c,**Prints & Illustrated Books**,2015-01-06T00:00:00
Blue Jean from AGPA 73: Pan American Graphic Arts (AGPA 73: Artes gráficas panamericanas),Miguel Angel Rojas,(Colombian),(Male),-1946,,2021,**Prints & Illustrated Books**,2015-01-05T00:00:00
J.A.B. AND HIS UMBRELLA,Stephen Scheer,(American),(Male),-1954,,2021s,**Photography**,2015-01-05T00:00:00
Tube,Roman Signer,(Swiss),(Male),-1938,,2021,**Media and Performance Art**,2015-01-06T00:00:00
In-text plate (page 78) from LYSISTRATA,František Kupka,(Czech),(Male),-1871,-1957,2021C,**Prints & Illustrated Books**,2015-01-05T00:00:00
"German People - German Work Exhibit, Berlin, Germany, Installation of the vitrine for crystal glass. Elevation, plan, and sections.",Lilly Reich,(German),(Female),-1885,-1947,2020(,**Architecture & Design**,2015-01-05T00:00:00
Plate (page 44) from PARADISE GARDEN,Sidney Nolan,(Australian),(Male),-1917,-1992,2021S,**Prints & Illustrated Books**,2015-01-05T00:00:00
"SALUTATIONS, SENOR!","George Overbury (""Pop"") Hart",(American),(Male),-1868,-1933,2021S,**Prints & Illustrated Books**,2015-01-05T00:00:00
NUMBER 12,Antoni Tàpies,(Spanish),(Male),-1923,-2012,2021,**Prints & Illustrated Books**,2015-01-05T00:00:00
"50,000 Meals Served (50,000 Cubiertos)",José Chávez Morado,(Mexican),(Male),-1909,-2002,2021(,**Prints & Illustrated Books**,2015-01-05T00:00:00
In-text plate (page 68) from LE VOYAGE D'URIEN,Maurice Denis,(French),(Male),-1870,-1943,2018C,**Prints & Illustrated Books**,2015-01-05T00:00:00
Kaleidoscope #2 (Furnishing fabric),Herbert Bayer,(American),(Male),-1900,-1985,2021(,**Architecture & Design**,2015-01-05T00:00:00
Nations,Slavs and Tatars,(),(),-2005,,2021s,**Prints & Illustrated Books**,2015-01-05T00:00:00
"THE WINE PRESS IN OPEN AIR (plate; volume I, page 147) from LES GÉORGIQUES (GEORGICA)",André Dunoyer de Segonzac,(French),(Male),-1884,-1974,2021,**Prints & Illustrated Books**,2015-01-05T00:00:00
"The Brown Sisters, Marblehead, Massachusetts",Nicholas Nixon,(American),(Male),-1947,,2021s,**Photography**,2015-01-05T00:00:00
Linear Still Life,William Scott,(British),(Male),-1913,-1989,2021,**Drawings**,2015-01-05T00:00:00
Blind Man and His Son (Homem cego e seu filho),Candido Portinari,(Brazilian),(Male),-1903,-1962,2019c,**Prints & Illustrated Books**,2015-01-06T00:00:00
