Title,Artist,Nationality,Gender,BeginDate,EndDate,release_year,Department,appt_made_date
Rhythms in Barbara,Lynn Bowers,(American),(Male),-1932,,2017C,**Painting & Sculpture**,2015-05-14T00:00:00
"Plate 7 of 11, from the illustrated book, He Disappeared into Complete Silence, second edition",Louise Bourgeois,(American),(Female),-1911,-2010,2017(,**Prints & Illustrated Books**,2015-05-13T00:00:00
Henry Avoiding the Sun,David Hockney,(British),(Male),-1937,,2016,**Photography**,2015-05-13T00:00:00
Neo Futurism,Peter Bankov,(Russian),(Male),-1969,,2017),**Architecture & Design**,2015-05-13T00:00:00
Gazing Head,Alberto Giacometti,(Swiss),(Male),-1901,-1966,2016C,**Painting & Sculpture**,2015-05-13T00:00:00
Plate (folio 76 recto) from In Memory of My Feelings,Philip Guston,(American),(Male),-1913,-1980,1992S,**Prints & Illustrated Books**,2015-05-14T00:00:00
"Clouds, Utah",Dorothea Lange,(American),(Female),-1895,-1965,2001),**Photography**,2015-05-13T00:00:00
Page 13 from CATALOGUE OF PRINTS,Jean Charlot,(American),(Male),-1898,-1979,2006,**Prints & Illustrated Books**,2015-05-14T00:00:00
"untitled (the days of this society is numbered / December 7, 2012)",Rirkrit Tiravanija,(Thai),(Male),-1961,,2016),**Drawings**,2015-05-14T00:00:00
"Duplicate of plate from folio 32 (supplementary suite, plate 25) from LA VILLE",Frans Masereel,(Belgian),(Male),-1889,-1972,2001S,**Prints & Illustrated Books**,2015-05-13T00:00:00
Headpiece (colophon) from PARLER SEUL,Joan Miró,(Spanish),(Male),-1893,-1983,2017,**Prints & Illustrated Books**,2015-05-13T00:00:00
"Scopes of Blue, Red, Yellow",Benni Efrat,(Israeli),(Male),,,2016s,**Prints & Illustrated Books**,2015-05-13T00:00:00
Sense and Sense,Emily Roysdon,(American),(),,,2017s,**Media and Performance Art**,2015-05-13T00:00:00
Untitled from Tailleur de Coeur,Rebecca Horn,(German),(Female),-1944,,2013,**Prints & Illustrated Books**,2015-05-13T00:00:00
"Plate 4 from L'AVANGUARDIA INTERNAZIONALE, Volume 3/L'AVANT-GARDE INTERNATIONALE, Volume 3/THE INTERNATIONAL AVANT-GARDE, Volume 3",Augustin Càrdenas,(Cuban),(Male),-1927,-2001,2016),**Prints & Illustrated Books**,2015-05-18T00:00:00
"Proof of 5th color for Plate 13 (supplementary suite, plate 164) from FOUR TALES FROM THE ARABIAN NIGHTS",Marc Chagall,(French),(Male),-1887,-1985,2017s,**Prints & Illustrated Books**,2015-05-13T00:00:00
Plate (page 75) from VISAGES,Henri Matisse,(French),(Male),-1869,-1954,2016,**Prints & Illustrated Books**,2015-05-13T00:00:00
"First state of The Bride Stripped Bare... from The Large Glass and Related Works, Vol. II",Marcel Duchamp,(American),(Male),-1887,-1968,2017C,**Prints & Illustrated Books**,2015-05-14T00:00:00
Partial Female Figure (Fragment de corps de femme),Pablo Picasso,(Spanish),(Male),-1881,-1973,2017(,**Prints & Illustrated Books**,2015-05-14T00:00:00
Self-Portrait (Selbstbildnis),Max Beckmann,(German),(Male),-1884,-1950,2016,**Prints & Illustrated Books**,2015-05-13T00:00:00
Staff,Jorge Macchi,(Argentine),(Male),-1963,,2016),**Painting & Sculpture**,2015-05-14T00:00:00
WESTERN DUO,Gregory Masurovsky,(American),(Male),-1929,-2009,2017s,**Prints & Illustrated Books**,2015-05-13T00:00:00
Project Series: Félix Fénéon,Ben Kinmont,(American),(Male),-1963,,2016,**Prints & Illustrated Books**,2015-05-14T00:00:00
Our Father / which art / in heaven (Vaterunser / Der Du bist / im Himmel) from The Lord's Prayer (Das Vater Unser),Max Pechstein,(German),(Male),-1881,-1955,2017C,**Prints & Illustrated Books**,2015-05-13T00:00:00
Plate (folio 22 verso) from POEMS,Willem de Kooning,(American),(Male),-1904,-1997,2017(,**Prints & Illustrated Books**,2015-05-13T00:00:00
Fête du Trône,Eugène Atget,(French),(Male),-1857,-1927,2016,**Photography**,2015-05-13T00:00:00
Dance of the Half Moon,Fernando Leal,(Mexican),(Male),-1896,-1964,2017),**Prints & Illustrated Books**,2015-05-13T00:00:00
Wise Quackers,Friz Freleng,(American),(Male),-1905,-1995,2016C,**Film**,2015-05-13T00:00:00
Newlands Corner. Everywhere You Go You Can Be Sure of Shell,John Armstrong,(British),(Male),-1893,-1973,1992S,**Architecture & Design**,2015-05-13T00:00:00
The Guilty Girl Is Fragile,Louise Bourgeois,(American),(Female),-1911,-2010,2001),**Prints & Illustrated Books**,2015-05-14T00:00:00
Pusher,Benny Andrews,(American),(Male),-1930,-2006,2006,**Prints & Illustrated Books**,2015-05-13T00:00:00
Untitled,Tetsuo Ochikubo,(American),(Male),-1923,-1975,2016),**Prints & Illustrated Books**,2015-05-13T00:00:00
Barges,Louise Bourgeois,(American),(Female),-1911,-2010,2001S,**Prints & Illustrated Books**,2015-05-13T00:00:00
Against Fun Sport,Peter Stauss,(German),(Male),-1966,,2017,**Drawings**,2015-05-13T00:00:00
Kamikaze 1989,Wolf Gremm,(),(Male),,,2016s,**Film**,2015-05-13T00:00:00
Sugar Daddy,Suzanne McClelland,(American),(Female),-1959,,2017s,**Prints & Illustrated Books**,2015-05-14T00:00:00
Note III from Notes,Barnett Newman,(American),(Male),-1905,-1970,2013,**Prints & Illustrated Books**,2015-05-13T00:00:00
"K'UN (in-text plate, folio 5) from I CHING",Sheila Isham,(American),(Female),-1927,,2016),**Prints & Illustrated Books**,2015-05-13T00:00:00
In-text plate (page 223) from LA 628-E8,Pierre Bonnard,(French),(Male),-1867,-1947,2017s,**Prints & Illustrated Books**,2015-05-14T00:00:00
Untitled,Alberto Giacometti,(Swiss),(Male),-1901,-1966,2016,**Drawings**,2015-05-14T00:00:00
Bowl,James Prestini,(American),(Male),-1908,-1993,2017C,**Architecture & Design**,2015-05-13T00:00:00
Associations,John Smith,(British),(Male),-1952,,2017(,**Media and Performance Art**,2015-05-14T00:00:00
Tailpiece (page 119) from POÈSIES ANTILLAISES,Henri Matisse,(French),(Male),-1869,-1954,2016,**Prints & Illustrated Books**,2015-05-13T00:00:00
La Goulue Before the Court (La Goulue devant le Tribunal),Henri de Toulouse-Lautrec,(French),(Male),-1864,-1901,2016),**Prints & Illustrated Books**,2015-05-14T00:00:00
Untitled from the portfolio CHARADES,Jacob Landau,(American),(Male),-1917,-2001,2017s,**Prints & Illustrated Books**,2015-05-13T00:00:00
Device,Jasper Johns,(American),(Male),-1930,,2016,**Prints & Illustrated Books**,2015-05-14T00:00:00
"Kevin Gordon; 37 years old; Oakland, California; $40",Philip-Lorca diCorcia,(American),(Male),-1951,,2017C,**Photography**,2015-05-13T00:00:00
Subway Portrait,Walker Evans,(American),(Male),-1903,-1975,2017(,**Photography**,2015-05-13T00:00:00
Table of Contents from Merz 5. 7 Arpaden by Hans Arp. Arp Portfolio. Second Portfolio of the Merz Publisher (Merz 5. 7 Arpaden von Hans Arp. Arp Mappe. Zweite Mappe des Merzverlages),Jean (Hans) Arp,(French),(Male),-1886,-1966,2016,**Prints & Illustrated Books**,2015-05-13T00:00:00
Steps,Lauretta Vinciarelli,(Italian),(Female),-1943,-2012,2017),**Architecture & Design**,2015-05-14T00:00:00
Untitled from Vanish,Sol LeWitt,(American),(Male),-1928,-2007,2016C,**Prints & Illustrated Books**,2015-05-13T00:00:00
Plate VI from DIES IRAE,Peter Lipman-Wulf,(American),(Male),-1905,,1992S,**Prints & Illustrated Books**,2015-05-14T00:00:00
The Street (Die Straße) (plate 25) from the illustrated book Deutsche Graphiker der Gegenwart (German Printmakers of Our Time),Max Unold,(German),(Male),-1885,-1964,2001),**Prints & Illustrated Books**,2015-05-14T00:00:00
"Bagneux, vieille rue",Eugène Atget,(French),(Male),-1857,-1927,2006,**Photography**,2015-05-13T00:00:00
Study for 'White' series,Glenn Ligon,(American),(Male),-1960,,2016),**Drawings**,2015-05-13T00:00:00
Doodle-Dot textile,Frank Hinder,(Australian),(Male),-1908,-1992,2001S,**Architecture & Design**,2015-05-18T00:00:00
Untitled,Mateo López,(Colombian),(Male),-1978,,2017,**Drawings**,2015-05-13T00:00:00
Untitled #101,José Antonio Suárez Londoño,(Colombian),(Male),-1955,,2016s,**Prints & Illustrated Books**,2015-05-13T00:00:00
SPACE AND FIGURES,Bernhard Heiliger,(German),(Male),-1915,-1995,2017s,**Prints & Illustrated Books**,2015-05-18T00:00:00
"Weissenhof Apartment House, ""The Dwelling"" Exhibition, Stuttgart, Germany, Plan and elevation (House plan)",Ludwig Mies van der Rohe,(American),(Male),-1886,-1969,2013,**Architecture & Design**,2015-05-14T00:00:00
Landscape from the portfolio 69,Allan D'Arcangelo,(American),(Male),-1930,-1998,2016),**Prints & Illustrated Books**,2015-05-14T00:00:00
"Nobilissima Visione or St. Francis, design for ballet",Pavel Tchelitchew,(American),(Male),-1898,-1957,2017s,**Drawings**,2015-05-13T00:00:00
Watchers,Lynn Chadwick,(British),(Male),-1914,-2003,2016,**Drawings**,2015-05-14T00:00:00
Rue Lanneau,Eugène Atget,(French),(Male),-1857,-1927,2017C,**Photography**,2015-05-13T00:00:00
"Serving Cart (Perspective sketches, elevation sketch)",Ludwig Mies van der Rohe,(American),(Male),-1886,-1969,2017(,**Architecture & Design**,2015-05-14T00:00:00
Double page plate (between pages 96 and 97) from Vertogradari Nad Lozami (Gardeners over the Vines),Natalia Goncharova,(Russian),(Female),-1881,-1962,2016,**Prints & Illustrated Books**,2015-05-14T00:00:00
Fireworks (plate VI) from The World's Fair (L'Exposition Universelle),Félix Vallotton,(French),(Male),-1865,-1925,2016),**Prints & Illustrated Books**,2015-05-13T00:00:00
Plate (folio 52) from EL INGENIOSO HIDALGO DON QUIXOTE DE LA MANCHA,Roberto Matta,(Chilean),(Male),-1911,-2002,2017s,**Prints & Illustrated Books**,2015-05-14T00:00:00
Plate (page 61) from De Mémoire d'homme,Pablo Picasso,(Spanish),(Male),-1881,-1973,2016,**Prints & Illustrated Books**,2015-05-14T00:00:00
Floods of the Old and New World,Cyprien Gaillard,(French),(Male),-1980,,2017C,**Photography**,2015-05-13T00:00:00
"Study for Cinematic Mural, Study IV",Fernand Léger,(French),(Male),-1881,-1955,2017(,**Drawings**,2015-05-13T00:00:00
Isadora Duncan,Abraham Walkowitz,(American),(Male),-1878,-1965,2016,**Drawings**,2015-05-13T00:00:00
Portrait of Curt Valentin,André Masson,(French),(Male),-1896,-1987,2017),**Prints & Illustrated Books**,2015-05-13T00:00:00
Blind Justice from Disasters of Peace,Diane Victor,(South African),(Female),-1964,,2016C,**Prints & Illustrated Books**,2015-05-14T00:00:00
"Spider Web, Aix-en-Provence",Harry Callahan,(American),(Male),-1912,-1999,1992S,**Photography**,2015-05-13T00:00:00
UN COIN DE LA RUE SAINT SEVERIN ET DE LA RUE SAINT JACQUES,Eugène Atget,(French),(Male),-1857,-1927,2001),**Photography**,2015-05-13T00:00:00
Untitled (Study for Hairy Spider),Louise Bourgeois,(American),(Female),-1911,-2010,2006,**Prints & Illustrated Books**,2015-05-14T00:00:00
In-text plate (page 43) from INCIDENTES MELODICOS DEL MUNDO IRRACIONAL,Leopoldo Méndez,(Mexican),(Male),-1902,-1969,2016),**Prints & Illustrated Books**,2015-05-13T00:00:00
"Christmas Eve Mass, Les Baux, Provence, France",Brassaï (Gyula Halász),(French),(Male),-1899,-1984,2001S,**Photography**,2015-05-13T00:00:00
Saloon Brawl,Weegee (Arthur Fellig),(American),(Male),-1899,-1968,2017,**Photography**,2015-05-13T00:00:00
"Gotthard Bank, Lugano, Switzerland (Preliminary sketch)",Mario Botta,(Swiss),(Male),-1943,,2016s,**Architecture & Design**,2015-05-13T00:00:00
Plate (page 9) from HOMMAGE À RIMBAUD,Roger Vieillard,(French),(Male),-1907,-1989,2017s,**Prints & Illustrated Books**,2015-05-14T00:00:00
"Neues Bauen (New Building) (Poster for Deutsche Werkbund Exhibition at the Kunstgewerbe Museum, Zürich)",Theo H. Ballmer,(Swiss),(Male),-1902,-1965,2013,**Architecture & Design**,2015-05-13T00:00:00
A EG,Jupp Wiertz,(German),(Male),-1881,-1939,2016),**Architecture & Design**,2015-05-18T00:00:00
"Wolf House, Gubin, Poland (Sections and plan: balcony railing)",Ludwig Mies van der Rohe,(American),(Male),-1886,-1969,2017s,**Architecture & Design**,2015-05-14T00:00:00
LINAS (ÉGLISE),Eugène Atget,(French),(Male),-1857,-1927,2016,**Photography**,2015-05-13T00:00:00
Shop the Big Book,Robert Watts,(American),(Male),-1923,-1988,2017C,**Prints & Illustrated Books**,2015-05-13T00:00:00
India (Dying silk),John Ross,(American),(Male),,,2017(,**Photography**,2015-05-13T00:00:00
Saint-Gervais-et-Protais,Eugène Atget,(French),(Male),-1857,-1927,2016,**Photography**,2015-05-13T00:00:00
"Krupp's 15 cm. Rohr von 3,85 Mtr. Lange in Oberdecklaffete mit Mittelpivot",Hugo van Werden,(German),(Male),-1836,-1911,2016),**Photography**,2015-05-13T00:00:00
Trailer for Mortal Sin (The Book),Lawrence Weiner,(American),(Male),-1942,,2017s,**Media and Performance Art**,2015-05-13T00:00:00
AFTERTHOUGHT FOR CARRINGTON from the portfolio CONSTELLATIONS,Donald Saff,(American),(Male),-1937,,2016,**Prints & Illustrated Books**,2015-05-14T00:00:00
Untitled,Louise Bourgeois,(American),(Female),-1911,-2010,2017C,**Prints & Illustrated Books**,2015-05-14T00:00:00
Pocahontas: Costume Design for the Ballet Pocahontas,Karl Free,(American),(Male),-1903,-1947,2017(,**Drawings**,2015-05-13T00:00:00
Wrestlers,Max Weber,(American),(Male),-1881,-1961,2016,**Drawings**,2015-05-13T00:00:00
Initial U and in-text plate (page 99) from PANTAGRUEL,André Derain,(French),(Male),-1880,-1954,2017),**Prints & Illustrated Books**,2015-05-13T00:00:00
Untitled,Unknown,(),(),,,2016C,**Photography**,2015-05-13T00:00:00
"Skyscrapers, New York",Charles Sheeler,(American),(Male),-1883,-1965,1992S,**Photography**,2015-05-14T00:00:00
Figure Composition - Working Men,Jan Matulka,(American),(Male),-1890,-1972,2001),**Drawings**,2015-05-13T00:00:00
Dancer III (Tänzerin III),Karl Schmidt-Rottluff,(German),(Male),-1884,-1976,2006,**Prints & Illustrated Books**,2015-05-13T00:00:00
Linear Construction,Aleksandr Rodchenko,(Russian),(Male),-1891,-1956,2016),**Drawings**,2015-05-13T00:00:00
Untitled,Marc Brandenburg,(German),(Male),-1965,,2001S,**Drawings**,2015-05-14T00:00:00
Pushya from Varsha,Ranjani Shettar,(Indian),(Female),-1977,,2017,**Prints & Illustrated Books**,2015-05-14T00:00:00
Untitled,John Armleder,(Swiss),(Male),-1948,,2016s,**Prints & Illustrated Books**,2015-05-14T00:00:00
In-text plate (page 83) from PARLER SEUL,Joan Miró,(Spanish),(Male),-1893,-1983,2017s,**Prints & Illustrated Books**,2015-05-14T00:00:00
COMING DANGER,Valdemar H. Elenbaas,(Dutch),(Male),,,2013,**Prints & Illustrated Books**,2015-05-14T00:00:00
In-text plate (folio IV) from 10 RADIERUNGEN,Karl Bohrmann,(German),(Male),-1928,-1998,2016),**Prints & Illustrated Books**,2015-05-14T00:00:00
"Dubonnet, Vin Tonique au Quinquina",A. M. Cassandre,(French),(Male),-1901,-1968,2017s,**Architecture & Design**,2015-05-14T00:00:00
Untitled (Divided) I,Barnaby Furnas,(American),(Male),-1973,,2016,**Drawings**,2015-05-14T00:00:00
ICARUS,Carol Summers,(American),(Male),-1925,,2017C,**Prints & Illustrated Books**,2015-05-14T00:00:00
Shadow Piece II,Mieko Shiomi,(Japanese),(Female),-1938,,2017(,**Fluxus Collection**,2015-05-14T00:00:00
Jug,Martin Puryear,(American),(Male),-1941,,2016,**Prints & Illustrated Books**,2015-05-14T00:00:00
Richard Strauss,Edward Steichen,(American),(Male),-1879,-1973,2016),**Photography**,2015-05-14T00:00:00
"CONTESSA OF GOYENECHE MANSION, MADRID: STAIRCASE (after Richard Desvallières; plate, page 69) from ARCHITECTURES",Jacques Villon,(French),(Male),-1875,-1963,2017s,**Prints & Illustrated Books**,2015-05-14T00:00:00
"Plate 8 of 9, from the illustrated book, He Disappeared into Complete Silence, first edition",Louise Bourgeois,(American),(Female),-1911,-2010,2016,**Prints & Illustrated Books**,2015-05-14T00:00:00
"Teru Teru, Spur-Winged Lapwing (plate, folio 18 verso) from Birds from my Homeland",Antonio Frasconi,(American),(Male),-1919,-2013,2017C,**Prints & Illustrated Books**,2015-05-14T00:00:00
"SAAL S. Victor Social Housing, Porto, Portugal, Notes",Álvaro Siza,(Portuguese),(Male),-1933,,2017(,**Architecture & Design**,2015-05-14T00:00:00
Edelweisspiraten (Edelweiss Pirates),Marcel Odenbach,(German),(Male),-1953,,2016,**Drawings**,2015-05-14T00:00:00
De Stijl NB stationery,Theo van Doesburg (Christian Emil Marie Küpper),(Dutch),(Male),-1883,-1931,2017),**Architecture & Design**,2015-05-14T00:00:00
Untitled from Favorite Objects,Christian Boltanski,(French),(Male),-1944,,2016C,**Prints & Illustrated Books**,2015-05-14T00:00:00
A New Wave of Violence,Raymond Pettibon,(American),(Male),-1957,,1992S,**Prints & Illustrated Books**,2015-05-14T00:00:00
The Concorde Collages,Aleksandra Mir,(American),(Female),-1967,,2001),**Prints & Illustrated Books**,2015-05-14T00:00:00
The Sin of Jesus,Robert Frank,(American),(Male),-1924,,2006,**Film**,2015-05-18T00:00:00
Normandie,Edward Ruscha,(American),(Male),-1937,,2016),**Drawings**,2015-05-14T00:00:00
RUE DES NONNAINS D'HYÈRES. (KNIFEGRINDER SIGN),Eugène Atget,(French),(Male),-1857,-1927,2001S,**Photography**,2015-05-14T00:00:00
Head of a Woman,André Derain,(French),(Male),-1880,-1954,2017,**Prints & Illustrated Books**,2015-05-14T00:00:00
Saules,Eugène Atget,(French),(Male),-1857,-1927,2016s,**Photography**,2015-05-14T00:00:00
3 from 0-9,Jasper Johns,(American),(Male),-1930,,2017s,**Prints & Illustrated Books**,2015-05-14T00:00:00
"GOAT (in-text plate, page 208) from DAPHNIS AND CHLOE",Aristide Maillol,(French),(Male),-1861,-1944,2013,**Prints & Illustrated Books**,2015-05-15T00:00:00
"Vignette next to ""Unchanged"" (Vignette bei ""Unverändert"") (headpiece, folio 21) from Klänge (Sounds)",Vasily Kandinsky,(French),(Male),-1866,-1944,2016),**Prints & Illustrated Books**,2015-05-18T00:00:00
Street Urchin (Head with Hat [Lausbub (Kopf mit Hut)],Christian Rohlfs,(German),(Male),-1849,-1938,2017s,**Prints & Illustrated Books**,2015-05-15T00:00:00
"4 mm, Die Geschichte der 4 (4 mm, The History of the 4)",A.R. Penck (Ralf Winkler),(German),(Male),-1939,-2017,2016,**Prints & Illustrated Books**,2015-05-14T00:00:00
Varvara Stepanova,Aleksandr Rodchenko,(Russian),(Male),-1891,-1956,2017C,**Photography**,2015-05-14T00:00:00
Dognat' i peregnat' v tekhniko-ekonomicheskom otnoshenii peredovye kapitalisticheskie strany v 10 let. 70 kartinnye diagrammna otkrytkakh,Unknown,(),(),,,2017(,**Prints & Illustrated Books**,2015-05-14T00:00:00
Catalytic text: “Bitte nehmen Sie sich Zeit und hören Sie zu.” “Please slow down and listen.”,Ben Kinmont,(American),(Male),-1963,,2016,**Prints & Illustrated Books**,2015-05-18T00:00:00
Ruth Landshoff,Umbo (Otto Umbehr),(German),(Male),-1902,-1980,2016),**Photography**,2015-05-14T00:00:00
Spoleto Festival 1969,Saul Steinberg,(American),(Male),-1914,-1999,2017s,**Architecture & Design**,2015-05-15T00:00:00
No (3),Louise Bourgeois,(American),(Female),-1911,-2010,2016,**Prints & Illustrated Books**,2015-05-14T00:00:00
Love Letter #1,Charles White,(American),(Male),-1918,-1979,2017C,**Prints & Illustrated Books**,2015-05-14T00:00:00
BLOWING UP THE BRANDENBURG GATE. PROPOSAL FOR THE 1994-95 COMPETITION FOR BERLIN MEMORIAL FOR THE MURDERED JEWS OF EUROPE,Horst Hoheisel,(German),(Male),-1944,,2017(,**Prints & Illustrated Books**,2015-05-15T00:00:00
Tailpiece (page 72) from PASSION,Georges Rouault,(French),(Male),-1871,-1958,2016,**Prints & Illustrated Books**,2015-05-14T00:00:00
Untitled,Lee Miller,(American),(Male),-1907,-1977,2017),**Photography**,2015-05-14T00:00:00
Seduction of a Cyborg,Lynn Hershman Leeson,(American),(Female),-1941,,2016C,**Media and Performance Art**,2015-05-18T00:00:00
Siméon,Euzhan Palcy,(French),(Female),-1958,,1992S,**Film**,2015-05-14T00:00:00
Watching Onan,Raymond Pettibon,(American),(Male),-1957,,2001),**Prints & Illustrated Books**,2015-05-15T00:00:00
Red-Orange over Blue (Rouge-orange sur bleu) from Suite of Twenty-Seven Color Lithographs,Ellsworth Kelly,(American),(Male),-1923,-2015,2006,**Prints & Illustrated Books**,2015-05-14T00:00:00
Untitled from Women are Beautiful,Garry Winogrand,(American),(Male),-1928,-1984,2016),**Photography**,2015-05-14T00:00:00
"Moskva Arbat (Moscow, Arbat Street). (stone block, broom)",Kirill Rozhdestvenskii,(Russian),(Male),-1932,,2001S,**Photography**,2015-05-15T00:00:00
Twosome,Louise Bourgeois,(American),(Female),-1911,-2010,2017,**Prints & Illustrated Books**,2015-05-15T00:00:00
SAINT ROCH. TOMBEAU DE MME. DE LA LIVE,Eugène Atget,(French),(Male),-1857,-1927,2016s,**Photography**,2015-05-14T00:00:00
Figure 8 from Black Numeral Series,Jasper Johns,(American),(Male),-1930,,2017s,**Prints & Illustrated Books**,2015-05-14T00:00:00
Golden Bee 11 (version two),Peter Bankov,(Russian),(Male),-1969,,2013,**Architecture & Design**,2015-05-15T00:00:00
Untitled,Unknown,(),(),,,2016),**Photography**,2015-05-15T00:00:00
"Chair without Arms (Side elevation, plan, detail, section)",Ludwig Mies van der Rohe,(American),(Male),-1886,-1969,2017s,**Architecture & Design**,2015-05-15T00:00:00
Oaxaca,George Ortman,(American),(Male),-1926,-2015,2016,**Prints & Illustrated Books**,2015-05-14T00:00:00
The Birdlover,Adja Yunkers,(American),(Male),-1900,-1983,2017C,**Prints & Illustrated Books**,2015-05-15T00:00:00
Barcelona Chair. Barcelona Stool. Two Tables. (Elevation sketches),Ludwig Mies van der Rohe,(American),(Male),-1886,-1969,2017(,**Architecture & Design**,2015-05-18T00:00:00
Untitled,Hayley Tompkins,(Scottish),(Female),-1971,,2016,**Drawings**,2015-05-14T00:00:00
"Plate (folio 18) from Six Geometric Figures and All Their Combinations, Volume I",Sol LeWitt,(American),(Male),-1928,-2007,2016),**Prints & Illustrated Books**,2015-05-14T00:00:00
"Forest Floor, Yosemite Valley, California",Ansel Adams,(American),(Male),-1902,-1984,2017s,**Photography**,2015-05-14T00:00:00
"Burnham Beeches, Winter",Vernon Heath,(British),(Male),-1819,-1895,2016,**Photography**,2015-05-15T00:00:00
"Young Woman Leaning, Veil on Head (Jeune femme accoudée, voile sur la tête)",Henri Matisse,(French),(Male),-1869,-1954,2017C,**Prints & Illustrated Books**,2015-05-14T00:00:00
Untitled,Willy Heeks,(American),(Male),-1951,,2017(,**Prints & Illustrated Books**,2015-05-14T00:00:00
Calavera of Cupid (Calavera de Cupido),José-Guadalupe Posada,(Mexican),(Male),-1852,-1913,2016,**Prints & Illustrated Books**,2015-05-15T00:00:00
Auch Du bist Liberal,Karl Gerstner,(Swiss),(Male),-1930,,2017),**Architecture & Design**,2015-05-14T00:00:00
Mechanical for Flux Paper Games: Rolls and Folds label,George Maciunas,(American),(Male),-1931,-1978,2016C,**Fluxus Collection**,2015-05-15T00:00:00
The Museum,Saul Steinberg,(American),(Male),-1914,-1999,1992S,**Prints & Illustrated Books**,2015-05-18T00:00:00
Mark,Robert Longo,(American),(Male),-1953,,2001),**Prints & Illustrated Books**,2015-05-14T00:00:00
Dead Man in the Mud (Toter im Schlamm) from The War (Der Krieg),Otto Dix,(German),(Male),-1891,-1969,2006,**Prints & Illustrated Books**,2015-05-14T00:00:00
LITANIE D'EAU,Gregory Masurovsky,(American),(Male),-1929,-2009,2016),**Prints & Illustrated Books**,2015-05-14T00:00:00
"May Day, Moscow",Diego Rivera,(Mexican),(Male),-1886,-1957,2001S,**Drawings**,2015-05-14T00:00:00
"Enantiomorphic Chambers, Drawing Z",Robert Smithson,(American),(Male),-1938,-1973,2017,**Drawings**,2015-05-14T00:00:00
The White Cover Book,Ai Weiwei,(Chinese),(Male),-1957,,2016s,**Prints & Illustrated Books**,2015-05-14T00:00:00
THE MYSTERIOUS HOST (folio 12) from MYTHOLOGIE,Giorgio de Chirico,(Italian),(Male),-1888,-1978,2017s,**Prints & Illustrated Books**,2015-05-18T00:00:00
Armstrong booklets,Ladislav Sutnar,(American),(Male),-1897,-1976,2013,**Architecture & Design**,2015-05-15T00:00:00
Uncle Sam’s Moleshow,Residents,(American),(),-1972,,2016),**Film**,2015-05-15T00:00:00
Headpiece (page 166) from FLORILÈGE DES AMOURS,Henri Matisse,(French),(Male),-1869,-1954,2017s,**Prints & Illustrated Books**,2015-05-15T00:00:00
"Sketchbook: El Golea, II",Jean Dubuffet,(French),(Male),-1901,-1985,2016,**Drawings**,2015-05-15T00:00:00
By the Radio,Unknown,(Nationality Unknown),(),,,2017C,**Architecture & Design**,2015-05-18T00:00:00
"Little Policeman, Scottsboro, Alabama",Rosalind Fox Solomon,(American),(Female),-1930,,2017(,**Photography**,2015-05-14T00:00:00
Bridge Bathers,Graham Nickson,(British),(Male),-1946,,2016,**Drawings**,2015-05-15T00:00:00
Plate (page 56) from POÈMES,Henri Matisse,(French),(Male),-1869,-1954,2016),**Prints & Illustrated Books**,2015-05-14T00:00:00
Young Woman Contemplating a Goldfish Bowl (Jeune femme contemplant un bocal de poissons rouges),Henri Matisse,(French),(Male),-1869,-1954,2017s,**Prints & Illustrated Books**,2015-05-14T00:00:00
Mrs. Jay Coogan,Adolf De Meyer,(German),(Male),-1868,-1946,2016,**Photography**,2015-05-14T00:00:00
A-Z Logo Study,Andrea Zittel,(American),(Female),-1965,,2017C,**Drawings**,2015-05-14T00:00:00
Dreams That Money Can Buy,Hans Richter,(American),(Male),-1888,-1976,2017(,**Film**,2015-05-14T00:00:00
Untitled (stone sphere on pedestal),Janusz Lesniak,(Polish),(),-1947,,2016,**Photography**,2015-05-15T00:00:00
"Procession, Egypt",Dorothea Lange,(American),(Female),-1895,-1965,2017),**Photography**,2015-05-14T00:00:00
James Lord,Henri Cartier-Bresson,(French),(Male),-1908,-2004,2016C,**Photography**,2015-05-14T00:00:00
"Court House Project, Plan",Ludwig Mies van der Rohe,(American),(Male),-1886,-1969,1992S,**Architecture & Design**,2015-05-14T00:00:00
Volcano 114,Aaron Siskind,(American),(Male),-1903,-1991,2001),**Photography**,2015-05-14T00:00:00
Plate 28 (folio 30) from MALELADE,Georg Baselitz,(German),(Male),-1938,,2006,**Prints & Illustrated Books**,2015-05-15T00:00:00
Nude,Edward Weston,(American),(Male),-1886,-1958,2016),**Photography**,2015-05-15T00:00:00
"THE ROLLING STOVE (plate, page 129) from APHORISMES ET VARIÉTÉS",Raoul Dufy,(French),(Male),-1877,-1953,2001S,**Prints & Illustrated Books**,2015-05-14T00:00:00
Le Prométhée mal enchaîné,Pierre Bonnard,(French),(Male),-1867,-1947,2017,**Prints & Illustrated Books**,2015-05-18T00:00:00
BOATS AND MASTS,Hilaire Hiler,(American),(Male),-1898,-1966,2016s,**Prints & Illustrated Books**,2015-05-15T00:00:00
Plate XIV from the portfolio TWO PART INVENTIONS,James McGarrell,(American),(Male),-1930,,2017s,**Prints & Illustrated Books**,2015-05-14T00:00:00
Mechanical for various Fluxus Editions,George Maciunas,(American),(Male),-1931,-1978,2013,**Prints & Illustrated Books**,2015-05-14T00:00:00
Plate (page 179) from LES CONQUÉRANTS,André Masson,(French),(Male),-1896,-1987,2016),**Prints & Illustrated Books**,2015-05-15T00:00:00
